GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Math,org.apache.commons.math3.analysis.interpolation,TricubicSplineInterpolatingFunction,68,17988,10,70,6,97,10,35,0,5
Commons Math,org.apache.commons.math3.analysis.interpolation,MicrosphereInterpolatingFunction.MicrosphereSurfaceElement,0,37,0,2,0,13,0,7,0,6
Commons Math,org.apache.commons.math3.analysis.interpolation,BicubicSplineFunction.new BivariateFunction() {...},0,63,0,0,0,6,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.interpolation,LoessInterpolator,33,544,4,48,6,110,6,30,2,8
Commons Math,org.apache.commons.math3.analysis.interpolation,BicubicSplineFunction.new BivariateFunction() {...},0,63,0,0,0,6,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.interpolation,BicubicSplineFunction.new BivariateFunction() {...},0,63,0,0,0,6,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.interpolation,BicubicSplineFunction.new BivariateFunction() {...},0,67,0,0,0,7,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.interpolation,BicubicSplineFunction.new BivariateFunction() {...},0,67,0,0,0,7,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.interpolation,BicubicSplineInterpolatingFunction,100,1740,10,42,9,80,12,26,2,10
Commons Math,org.apache.commons.math3.analysis.interpolation,TricubicSplineFunction,30,202,6,18,3,25,6,8,0,2
Commons Math,org.apache.commons.math3.analysis.interpolation,SmoothingPolynomialBicubicSplineInterpolator,20,266,5,27,5,45,6,14,1,3
Commons Math,org.apache.commons.math3.analysis.interpolation,FieldHermiteInterpolator,0,423,0,30,0,64,0,19,0,4
Commons Math,org.apache.commons.math3.analysis.interpolation,DividedDifferenceInterpolator,0,100,0,4,0,17,0,5,0,3
Commons Math,org.apache.commons.math3.analysis.interpolation,SplineInterpolator,0,330,0,12,0,38,0,8,0,2
Commons Math,org.apache.commons.math3.analysis.interpolation,HermiteInterpolator,0,403,0,28,0,62,0,21,0,7
Commons Math,org.apache.commons.math3.analysis.interpolation,TricubicSplineInterpolator,4,576,4,50,1,78,4,27,0,4
Commons Math,org.apache.commons.math3.analysis.interpolation,MicrosphereInterpolatingFunction,32,220,8,22,6,42,8,10,0,3
Commons Math,org.apache.commons.math3.analysis.interpolation,MicrosphereInterpolator,12,37,2,2,2,10,2,3,0,3
Commons Math,org.apache.commons.math3.analysis.interpolation,BicubicSplineInterpolator,4,299,3,31,1,44,3,18,0,4
Commons Math,org.apache.commons.math3.analysis.interpolation,NevilleInterpolator,0,9,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.interpolation,LinearInterpolator,0,108,0,8,0,18,0,6,0,2
Commons Math,org.apache.commons.math3.analysis.interpolation,BicubicSplineFunction,28,316,9,21,6,50,9,15,0,9
Commons Math,org.apache.commons.math3.analysis.interpolation,UnivariatePeriodicInterpolator,0,165,0,6,0,28,0,6,0,3
Commons Math,org.apache.commons.math3.analysis.integration,LegendreGaussIntegrator,30,449,1,12,4,68,2,12,1,5
Commons Math,org.apache.commons.math3.analysis.integration,SimpsonIntegrator,34,92,5,7,7,22,5,5,1,3
Commons Math,org.apache.commons.math3.analysis.integration,IterativeLegendreGaussIntegrator.new UnivariateFunction() {...},0,11,0,0,0,2,0,2,0,2
Commons Math,org.apache.commons.math3.analysis.integration,IterativeLegendreGaussIntegrator,7,157,1,7,1,34,1,9,0,6
Commons Math,org.apache.commons.math3.analysis.integration,RombergIntegrator,20,145,4,8,6,31,4,6,1,3
